Location,Chao1,Temperature,pH,Latitude
Water (ns),416.326087,2.7,6.9,68.632586
Water (ns),495.902439,2.97,6.9,68.629961
Water (ns),450.1162791,3.01,6.9,68.629961
Water (ns),492.7638889,3.42,6.9,68.629961
Water (ns),520.75,4.96,6.9,68.629961
Water (ns),394.4864865,5.12,6.9,68.629961
Water (ns),68,5.19,6.9,68.629961
Water (ns),463.0909091,5.26,6.9,68.629961
Water (ns),479.3030303,5.26,6.9,68.629961
Water (ns),391.0217391,5.28,6.9,68.629961
Water (ns),382.1538462,5.28,6.9,68.629961
Water (ns),551.4666667,5.29,6.9,68.629961
Water (ns),415.4666667,5.29,6.9,68.629961
Water (ns),324.8857143,5.3,6.9,68.629961
Water (ns),415.7727273,5.3,6.9,68.629961
Water (ns),378.4473684,5.33,6.9,68.629961
Water (ns),457.0465116,5.4,6.9,68.629961
Water (ns),463.9268293,5.46,6.9,68.629961
Water (ns),420,5.46,6.9,68.629961
Water (ns),462.1458333,5.46,6.9,68.629961
Water (ns),426.3863636,5.47,6.9,68.629961
Water (ns),396.7826087,5.92,6.9,68.629961
Water (ns),399.0232558,6.13,6.9,68.629961
Water (ns),47,6.16,6.9,68.629961
Water (ns),372.8,6.27,6.9,68.629961
Water (ns),287.0789474,6.96,6.9,68.609717
Water (ns),2095.333333,7.6,6.9,68.61818333
Water (ns),5212.587703,8.5,6.9,68.59688333
Water (ns),1130.857143,8.9,6.9,68.59491667
Water (ns),486.5138889,8.96,6.9,68.571037
Water (ns),2243.586735,9,6.9,68.57478333
Water (ns),2835.889868,9,6.9,68.57478333
Water (ns),301.625,9.07,6.9,68.582062
Water (ns),781.9736842,9.22,6.9,55.905
Water (ns),1036.384615,9.4,6.9,68.61818333
Water (ns),1832.649351,9.6,6.9,68.574
Water (ns),2089.744186,9.7,6.9,68.59688333
Water (ns),3961.863436,9.8,6.9,68.61035
Water (ns),3785.006826,9.85,6.9,68.571037
Water (ns),590.9347826,9.89,6.9,68.578931
Water (ns),1896.373494,10,6.9,68.610781
Water (ns),377.625,10.5,6.9,68.595875
Water (ns),125.5,10.9,6.9,68.61838333
Water (ns),3187.279221,10.91,6.9,68.600601
Water (ns),221,11,6.9,68.61818333
Water (ns),91,11.6,6.9,68.57478333
Water (ns),92,11.85,6.9,68.571037
Water (ns),2085.415385,11.9,6.9,68.574
Water (ns),1598.358974,11.9,6.9,68.574
Water (ns),428.5,11.91,6.9,68.578931
Water (ns),1616.721429,12.3,6.9,68.574
Water (ns),1339.5,12.3,6.9,68.574
Water (ns),2583.574803,12.5,6.9,68.59491667
Water (ns),3238.922879,12.5,6.9,68.61838333
Water (ns),847.012987,12.6,6.9,68.61035
Water (ns),1660.62069,12.7,6.9,68.574
Water (ns),2212.179487,12.8,6.9,68.574
Water (ns),408.2857143,12.95,6.9,68.587573
Water (ns),1908.08547,13,6.9,68.61818333
Water (ns),438.9148936,13.21,6.9,68.578931
Water (ns),247.84,14.1,6.9,68.79496
Water (ns),398.0227273,14.4,6.9,68.82153
Water (ns),253.9375,14.6,6.9,68.79496
Water (ns),2781.898551,14.7,6.9,68.61818333
Water (ns),226.3333333,14.8,6.9,68.61838333
Water (ns),268.7307692,14.8,6.9,68.61818333
Water (ns),308.5555556,14.8,6.9,68.61838333
Water (ns),3803.282051,14.8,6.9,68.61818333
Water (ns),939.7321429,14.8,6.9,68.61818333
Water (ns),1180.130435,14.8,6.9,68.61838333
Water (ns),655.96875,14.8,6.9,68.61818333
Water (ns),3590,14.9,6.9,68.61818333
Water (ns),1695.33557,14.9,6.9,68.61818333
Water (ns),450.75,14.9,6.9,68.6
Water (ns),101.3333333,15,6.9,68.61818333
Water (ns),377.8235294,15,6.9,68.82153
Water (ns),512.2777778,15.36,6.9,68.574673
Water (ns),453.02,15.6,6.9,68.82153
Water (ns),368.1363636,15.6,6.9,68.50508
Water (ns),952.5215054,16.3,6.9,68.60895
Water (ns),485.2142857,16.42,6.9,55.906
Water (ns),539.5185185,18.8,6.9,68.51007
Soil (ns),655.75,17.42,6.92,55.873
Water (ns),2148.979381,13.68,6.94,55.906
Soil (ns),1100.681818,15,6.94,33.194
Soil (ns),1230.204545,15,6.94,33.194
Soil (ns),1333.333333,15,6.94,33.194
Soil (ns),1032.113861,15,6.94,33.194
Soil (ns),890.2394958,15,6.94,33.194
Soil (ns),940.173913,15,6.94,33.194
Plant rhizosphere,232.5555556,15,6.94,33.194
Plant rhizosphere,322.2222222,15,6.94,33.194
Water (ns),501.7317073,16.5,6.94,55.906
Water (ns),2120.204444,14.02,6.98,55.905
Water (ns),2011.014354,14.02,6.98,55.905
Water (ns),214,24,6.99,53.1
Water (ns),316.1363636,24,6.99,53.1
Water (ns),430.4477612,1.11,7,68.629961
Water (ns),383.5263158,2.06,7,68.582062
Water (ns),513.7169811,2.08,7,68.629961
Water (ns),1070.967742,2.59,7,68.629961
Water (ns),3966.379679,2.9,7,68.57366667
Water (ns),905.4615385,3.1,7,68.582062
Water (ns),389.92,4.1,7,68.629961
Water (ns),406.3333333,4.32,7,68.629961
Water (ns),412.6363636,4.46,7,68.629961
Water (ns),172.9285714,4.57,7,68.629961
Water (ns),411.6756757,4.68,7,68.629961
Water (ns),390.3636364,4.75,7,68.629961
Water (ns),433.6666667,4.81,7,68.629961
Water (ns),485.1428571,4.93,7,68.629961
Water (ns),540.5789474,5.1,7,68.629961
Water (ns),483.1333333,5.1,7,68.629961
Water (ns),512.0909091,5.19,7,68.629961
Water (ns),459.15,5.19,7,68.629961
Water (ns),437.325,5.25,7,68.629961
Water (ns),176.2727273,5.48,7,68.629961
Water (ns),526.8181818,5.52,7,68.629961
Water (ns),450,5.73,7,68.629961
Water (ns),561.2264151,5.8,7,68.629961
Water (ns),362.3636364,5.85,7,68.629961
Water (ns),624.35,5.99,7,68.629961
Water (ns),24,6.03,7,68.629961
Water (ns),1931.262295,6.16,7,68.629961
Water (ns),341.5294118,6.46,7,68.629961
Water (ns),364.1666667,6.5,7,68.629961
Water (ns),30,7.8,7,68.59688333
Water (ns),6350.432277,7.8,7,68.59688333
Water (ns),1120.128205,7.9,7,68.61838333
Water (ns),1327.011364,8,7,68.574
Water (ns),1460.222222,8.1,7,68.61818333
Water (ns),692.2625,8.36,7,68.595875
Water (ns),641.8571429,8.62,7,68.574673
Water (ns),426.359375,8.79,7,68.595875
Water (ns),76,8.8,7,68.6
Water (ns),559.6851852,8.99,7,68.578931
Water (ns),529.3333333,9.01,7,68.578931
Water (ns),1736.068493,9.4,7,68.6256
Water (ns),3924.54717,9.4,7,68.585839
Water (ns),364.625,9.48,7,68.574673
Water (ns),558.5121951,9.56,7,68.587573
Water (ns),733.224,9.8,7,68.58423333
Water (ns),5419.730263,9.9,7,68.59688333
Water (ns),401.5,10.02,7,68.609717
Water (ns),1924.55814,10.23,7,68.610781
Water (ns),353.7179487,10.43,7,68.578931
Water (ns),128,10.5,7,68.61838333
Water (ns),859.012987,11.01,7,68.610781
Water (ns),1564,11.25,7,68.610781
Water (ns),627.9677419,11.35,7,68.574673
Water (ns),171.6666667,12.1,7,68.5684
Water (ns),1262.529412,12.2,7,68.61838333
Water (ns),2831.233161,12.3,7,68.58423333
Water (ns),339.5535714,12.39,7,68.587573
Water (ns),325.2564103,12.39,7,68.5684
Water (ns),2762.68038,12.5,7,68.61818333
Water (ns),701.1111111,12.79,7,68.610781
Water (ns),1259.094787,12.8,7,68.61818333
Water (ns),394.097561,13.07,7,68.587573
Water (ns),462.75,13.15,7,68.629961
Water (ns),1978.89726,13.3,7,68.61818333
Water (ns),96,13.3,7,68.61818333
Water (ns),400.2678571,13.3,7,68.574
Water (ns),965.7692308,13.3,7,68.556769
Water (ns),2253.470852,13.4,7,55.905
Water (ns),3880.219269,13.5,7,68.578643
Water (ns),587.5106383,13.5,7,68.61818333
Water (ns),397.2857143,13.56,7,68.595875
Water (ns),375.2,13.6,7,68.587573
Water (ns),285.46875,13.77,7,68.5684
Water (ns),3851.152778,13.8,7,68.60853333
Water (ns),326.6875,13.86,7,68.609717
Water (ns),2999.723618,13.9,7,68.61818333
Water (ns),28,14,7,68.6256
Water (ns),2776.621514,14,7,68.585839
Water (ns),727.7678571,14,7,68.610781
Water (ns),3973.443925,14.1,7,68.61818333
Water (ns),710.2978723,14.44,7,55.906
Water (ns),711.12,14.67,7,68.610781
Water (ns),1955.083721,14.88,7,55.905
Water (ns),368.3333333,14.92,7,68.571037
Water (ns),254.1764706,15.26,7,68.600601
Water (ns),1220.763158,15.6,7,68.59491667
Water (ns),490.5,15.7,7,68.611341
Water (ns),353.7142857,15.74,7,68.587573
Water (ns),461.893617,15.78,7,68.578931
Water (ns),1527.981308,15.8,7,68.51007
Water (ns),400.3846154,16.1,7,68.50245
Water (ns),2717.339056,16.2,7,68.59491667
Water (ns),336.3913043,16.23,7,68.610781
Water (ns),2097.008197,16.5,7,68.62538
Water (ns),2280.453782,16.9,7,55.906
Water (ns),60,17,7,68.60853333
Water (ns),382.4,17.3,7,68.585
Water (ns),609.5,17.38,7,55.873
Soil (ns),705.6,17.4,7,55.873
Water (ns),359.5588235,17.5,7,68.62538
Water (ns),409.1333333,17.5,7,68.62538
Water (ns),641.5,17.9,7,68.50245
Water (ns),3231.913858,17.9,7,68.61818333
Water (ns),925.7916667,19,7,68.98633
Water (ns),192.6363636,19.2,7,53.1
Water (ns),372.4680851,19.2,7,53.1
Water (ns),545.1724138,19.3,7,68.82153
Water (ns),449.375,20.6,7,68.81046
Water (ns),327.0285714,24.1,7.03,53.1
Water (ns),212.0357143,24.1,7.03,53.1
Water (ns),652.5454545,12.16,7.04,55.906
Water (ns),2386.959108,13.36,7.08,55.905
Water (ns),1803.413043,14.1,7.08,55.905
Water (ns),196.1428571,1,7.1,68.6256
Water (ns),437.9183673,1.83,7.1,68.629961
Water (ns),870.3092784,1.95,7.1,68.629961
Water (ns),1235.310811,2.6,7.1,68.629961
Water (ns),3003.08125,3.5,7.1,68.6256
Water (ns),6542.927711,4.4,7.1,68.59688333
Water (ns),482.7333333,4.47,7.1,68.629961
Water (ns),415.2881356,4.68,7.1,68.629961
Water (ns),453.1724138,5,7.1,68.629961
Water (ns),316.0232558,5.01,7.1,68.629961
Water (ns),453.7380952,5.01,7.1,68.629961
Water (ns),553.3469388,5.01,7.1,68.629961
Water (ns),345.0163934,5.19,7.1,68.629961
Water (ns),880.6307692,5.47,7.1,68.629961
Water (ns),347.1212121,5.87,7.1,68.629961
Water (ns),410.625,7.09,7.1,68.595875
Water (ns),339.25,7.11,7.1,68.629961
Water (ns),885.5090909,7.4,7.1,68.578643
Water (ns),1124.521739,7.96,7.1,68.610781
Water (ns),2023.975904,8.1,7.1,68.6256
Water (ns),4782.596741,8.3,7.1,68.59688333
Water (ns),586.4489796,8.37,7.1,68.574673
Water (ns),1144.228916,8.5,7.1,68.57366667
Water (ns),497.75,8.65,7.1,68.600601
Water (ns),371.2285714,8.77,7.1,68.578931
Water (ns),356.1612903,8.83,7.1,68.571037
Water (ns),298.8333333,9.16,7.1,68.5684
Water (ns),5837.625731,9.2,7.1,68.59688333
Water (ns),1175.378947,9.4,7.1,68.59491667
Water (ns),3640.072165,9.5,7.1,68.61035
Water (ns),4230.933333,9.6,7.1,68.578643
Water (ns),2818.6,9.6,7.1,68.59491667
Water (ns),5092.197279,9.7,7.1,68.578643
Water (ns),326.0857143,9.78,7.1,68.5684
Water (ns),4462.244656,9.8,7.1,68.578643
Water (ns),4311.720621,10.1,7.1,68.59688333
Water (ns),303,10.19,7.1,68.595875
Water (ns),413.8709677,10.41,7.1,68.574673
Water (ns),1517.267857,10.7,7.1,68.61818333
Water (ns),1545.883721,11,7.1,68.585839
Water (ns),1530.891626,11,7.1,68.574
Water (ns),473.2413793,11.1,7.1,68.578643
Water (ns),969.9655172,11.1,7.1,68.61818333
Water (ns),182.5,11.2,7.1,68.60853333
Water (ns),352.2285714,11.38,7.1,68.578931
Water (ns),50.33333333,11.4,7.1,68.59688333
Water (ns),1117.5,11.6,7.1,68.611341
Water (ns),4562.810379,11.6,7.1,68.59688333
Water (ns),2725.261803,11.6,7.1,68.6256
Water (ns),2584.66242,11.7,7.1,68.61818333
Water (ns),676.4,11.9,7.1,68.62016667
Water (ns),389.1578947,11.9,7.1,68.533494
Water (ns),2183.125654,12,7.1,68.585839
Water (ns),1591.176471,12.2,7.1,68.6256
Water (ns),380.2777778,12.29,7.1,68.600601
Water (ns),1065.297753,12.3,7.1,68.61035
Water (ns),359.0909091,12.51,7.1,68.571037
Water (ns),440.8125,12.92,7.1,68.595875
Water (ns),186.6,13.2,7.1,68.61818333
Water (ns),550.9166667,13.32,7.1,68.582062
Water (ns),4643.44389,13.4,7.1,68.61035
Water (ns),186.2173913,13.48,7.1,55.905
Water (ns),1876.451923,13.48,7.1,55.905
Water (ns),2115.540984,13.5,7.1,68.61818333
Water (ns),463.375,13.55,7.1,68.578931
Water (ns),364.05,13.55,7.1,68.629961
Water (ns),419.8032787,13.58,7.1,68.574673
Water (ns),2073.277228,13.7,7.1,68.61818333
Water (ns),996.3,13.89,7.1,68.574673
Water (ns),3281.18408,13.9,7.1,68.61818333
Water (ns),3875.3,13.9,7.1,68.6256
Water (ns),391.4545455,13.98,7.1,55.873
Water (ns),121.375,14.4,7.1,68.578643
Water (ns),2816.8375,15.4,7.1,68.61838333
Water (ns),93,15.59,7.1,68.574673
Water (ns),681.2857143,15.7,7.1,68.58357
Water (ns),1425.835821,16.2,7.1,55.905
Water (ns),709.3409091,16.3,7.1,55.905
Water (ns),2179.257511,16.66,7.1,55.905
Water (ns),433.9642857,16.8,7.1,55.905
Water (ns),1435.604167,16.9,7.1,55.905
Water (ns),1191.5625,16.9,7.1,68.62538
Water (ns),644,17.3,7.1,55.873
Water (ns),163.875,17.3,7.1,68.5896775
Water (ns),198.5833333,17.5,7.1,68.58333333
Water (ns),713.7662338,17.52,7.1,55.873
Water (ns),54,17.6,7.1,68.61818333
Water (ns),857.5116279,18.06,7.1,55.873
Water (ns),337.7837838,18.1,7.1,68.79496
Water (ns),3655.656535,18.1,7.1,68.61838333
Water (ns),337.25,18.3,7.1,68.50508
Water (ns),434,19.4,7.1,68.50508
Water (ns),210.5,13.48,7.12,55.906
Water (ns),1916.681159,15.74,7.12,55.905
Water (ns),302.8333333,16.9,7.18,53.1
Water (ns),456.3846154,16.9,7.18,53.1
Water (ns),2223.141791,0,7.2,68.6256
Water (ns),380.0681818,1.67,7.2,68.629961
Water (ns),361.8139535,2.05,7.2,68.629961
Water (ns),3954.00303,3.2,7.2,68.57366667
Water (ns),2274.030303,4.1,7.2,68.57366667
Water (ns),593,4.15,7.2,68.629961
Water (ns),405.0566038,4.25,7.2,68.629961
Water (ns),470.2222222,4.54,7.2,68.629961
Water (ns),529.7179487,4.61,7.2,68.629961
Water (ns),501.0491803,4.61,7.2,68.629961
Water (ns),3545.905956,4.7,7.2,68.578643
Water (ns),4998.621951,6.7,7.2,68.59688333
Water (ns),2341.202532,6.8,7.2,68.57478333
Water (ns),3222.036723,7.2,7.2,68.57366667
Water (ns),3198.327586,7.4,7.2,68.6256
Water (ns),504.3125,7.59,7.2,68.629961
Water (ns),414.1707317,7.86,7.2,68.629961
Water (ns),2334.40625,8,7.2,68.61035
Water (ns),1549.578947,8.27,7.2,68.609717
Water (ns),734.2264151,8.43,7.2,68.600601
Water (ns),499.4583333,8.5,7.2,68.600601
Water (ns),2012.584746,8.5,7.2,68.61818333
Water (ns),504.8571429,8.53,7.2,68.574673
Water (ns),510.5,8.82,7.2,68.587573
Water (ns),309.9,9.02,7.2,68.571037
Water (ns),7096.852535,9.5,7.2,68.578643
Water (ns),1305.615385,9.6,7.2,68.58423333
Water (ns),390.375,9.74,7.2,68.5684
Water (ns),4390,10.2,7.2,68.60853333
Water (ns),354.5277778,10.2,7.2,68.59688333
Water (ns),82,10.21,7.2,68.610781
Water (ns),2775.115044,10.4,7.2,68.6256
Water (ns),1919.27027,10.5,7.2,68.6256
Water (ns),5060.754258,10.9,7.2,68.6
Water (ns),364.90625,10.99,7.2,68.587573
Water (ns),362.1458333,11,7.2,68.595875
Water (ns),58.25,11,7.2,68.6256
Water (ns),580.5138889,11.1,7.2,68.59491667
Water (ns),1748.652174,11.1,7.2,68.6256
Water (ns),2892.764045,11.11,7.2,68.610781
Water (ns),1574.010638,11.3,7.2,68.61035
Water (ns),1798.573529,11.4,7.2,68.61818333
Water (ns),3282.967742,11.5,7.2,68.61818333
Water (ns),284.75,11.6,7.2,68.6256
Water (ns),4026.439655,11.6,7.2,68.578643
Water (ns),2569.102362,11.7,7.2,68.673757
Water (ns),2705.457447,11.8,7.2,68.61818333
Water (ns),1521,11.9,7.2,68.673757
Water (ns),313.8333333,12,7.2,68.62276
Water (ns),3632.326531,12.2,7.2,68.61818333
Water (ns),349.1034483,12.28,7.2,68.582062
Water (ns),2189.252252,12.3,7.2,68.61035
Water (ns),427.1428571,12.5,7.2,68.53327
Water (ns),2782.201923,12.7,7.2,68.61035
Water (ns),321.2727273,12.74,7.2,68.571037
Water (ns),1423.046875,12.8,7.2,68.6256
Water (ns),2466.727273,12.8,7.2,68.6256
Water (ns),207.25,12.94,7.2,68.5684
Water (ns),37,13.2,7.2,68.611341
Water (ns),3016.530864,13.3,7.2,68.60853333
Water (ns),2251.153846,13.3,7.2,68.6256
Water (ns),557.3846154,13.4,7.2,68.611341
Water (ns),3532.213368,13.4,7.2,68.61035
Water (ns),44,13.6,7.2,68.62016667
Water (ns),1365.351955,13.64,7.2,55.905
Water (ns),1326.581395,13.7,7.2,68.6256
Water (ns),284.1935484,13.79,7.2,68.55634
Water (ns),3716.013201,13.8,7.2,68.61818333
Water (ns),533.9090909,14.06,7.2,55.873
Water (ns),784.8333333,14.3,7.2,55.873
Water (ns),436.2459016,14.3,7.2,68.59491667
Water (ns),337.525,14.37,7.2,68.578931
Water (ns),3823.7557,14.4,7.2,68.61035
Water (ns),512.8857143,14.4,7.2,68.53405
Water (ns),5126.508021,14.7,7.2,68.87315
Water (ns),589.9677419,14.9,7.2,68.61035
Water (ns),275.2413793,14.99,7.2,68.600601
Water (ns),2441.407692,15,7.2,68.61818333
Water (ns),2558.3,15,7.2,68.61035
Water (ns),267.3913043,15.05,7.2,68.595875
Water (ns),344.9354839,15.09,7.2,68.600601
Water (ns),196.7727273,15.1,7.2,68.611341
Water (ns),2854.675277,15.4,7.2,68.578643
Water (ns),543.7755102,15.4,7.2,68.50245
Water (ns),453.2758621,15.44,7.2,68.578931
Water (ns),624.06,15.5,7.2,68.86755
Water (ns),430.7741935,15.59,7.2,68.5684
Water (ns),2238.655172,15.8,7.2,68.61818333
Water (ns),431.82,15.8,7.2,68.50508
Water (ns),1961.853933,16.1,7.2,68.6256
Water (ns),847.2166667,16.9,7.2,68.49592
Water (ns),1927.959184,17.1,7.2,68.5896775
Water (ns),475.5294118,17.2,7.2,68.79372
Water (ns),663.375,17.2,7.2,68.79496
Water (ns),368.0344828,17.8,7.2,68.62538
Sediment (s),879.2,11.1,7.21,50.338
Sediment (s),1802.581522,11.1,7.21,50.338
Sediment (s),517.3497268,11.1,7.21,50.338
Sediment (s),1298.963504,11.1,7.21,50.338
Sediment (s),728.1884817,11.1,7.21,50.338
Sediment (s),1584.876923,11.1,7.21,50.338
Sediment (s),689.578125,11.1,7.21,50.338
Water (ns),942.8461538,12.7,7.22,55.905
Water (ns),525.3030303,12.94,7.22,55.905
Water (ns),2415.928854,14.3,7.22,55.873
Water (ns),1673.958333,14.72,7.22,55.905
Water (ns),2512.818182,15.14,7.22,55.905
Water (ns),441.2702703,17.68,7.24,55.873
Water (ns),281.7241379,14.84,7.28,55.873
Water (ns),1335.109005,0.2,7.3,68.6256
Water (ns),592.2173913,0.7,7.3,68.6256
Water (ns),342.0909091,1.18,7.3,68.629961
Water (ns),1901.542373,1.86,7.3,68.629961
Water (ns),399.3846154,2.37,7.3,68.629961
Water (ns),398.6851852,5.9,7.3,68.629961
Water (ns),351.90625,6.01,7.3,68.582062
Water (ns),551.3061224,6.07,7.3,68.587573
Water (ns),319.7179487,6.1,7.3,68.629961
Water (ns),4012.959677,6.5,7.3,68.57366667
Water (ns),6183.7,6.6,7.3,68.59688333
Water (ns),3744.066667,6.7,7.3,68.60853333
Water (ns),2522.415385,7,7.3,68.59688333
Water (ns),3029.780347,7.2,7.3,68.6256
Water (ns),1227.921348,7.2,7.3,68.60853333
Water (ns),1281.588235,7.3,7.3,68.61818333
Water (ns),2963.569672,7.6,7.3,68.59133
Water (ns),2827.906977,7.7,7.3,68.59688333
Water (ns),3607.258317,7.9,7.3,68.622
Water (ns),1180.4,8.2,7.3,68.574
Water (ns),4705.134021,8.3,7.3,68.57366667
Water (ns),825.5081967,8.48,7.3,68.610781
Water (ns),322.8846154,8.65,7.3,68.582062
Water (ns),396.0238095,8.81,7.3,68.600601
Water (ns),384.7142857,8.81,7.3,68.582062
Water (ns),63,9,7.3,68.60853333
Water (ns),481.65,9.06,7.3,68.582062
Water (ns),4958.557522,9.1,7.3,68.57366667
Water (ns),440.8235294,9.11,7.3,68.595875
Water (ns),3949.451247,9.5,7.3,68.57366667
Water (ns),3476.693487,9.8,7.3,68.585839
Water (ns),297.8,9.8,7.3,68.62276
Water (ns),2260.359155,10.2,7.3,68.6256
Water (ns),1512.160839,10.2,7.3,68.578643
Water (ns),324.15,10.5,7.3,68.60853333
Water (ns),3092.472081,10.6,7.3,68.60853333
Water (ns),1846.045977,10.8,7.3,68.6256
Water (ns),2197.676471,10.9,7.3,68.6256
Water (ns),837.6666667,10.9,7.3,68.609717
Water (ns),4976.330416,10.9,7.3,68.59688333
Water (ns),3630.253219,11,7.3,68.60853333
Water (ns),1022.244898,11,7.3,68.60853333
Water (ns),1545.754098,11,7.3,68.6256
Water (ns),1181.054054,11,7.3,68.6256
Water (ns),253.2,11.17,7.3,68.571037
Water (ns),754.3191489,11.18,7.3,68.609717
Water (ns),2171.17931,11.2,7.3,68.6256
Water (ns),769.3928571,11.3,7.3,68.61838333
Water (ns),1528.061224,11.7,7.3,68.61818333
Water (ns),629.0990099,12.2,7.3,68.6256
Water (ns),336.0769231,12.2,7.3,68.61035
Water (ns),376.0454545,12.2,7.3,68.62538
Water (ns),1644.670103,12.2,7.3,68.574
Water (ns),1666.814371,12.2,7.3,68.61818333
Water (ns),2970.576923,12.5,7.3,68.61818333
Water (ns),1172.791304,12.6,7.3,68.6256
Water (ns),2040.5,12.9,7.3,68.61035
Water (ns),317.9333333,12.93,7.3,68.609717
Water (ns),392.06,12.98,7.3,68.5684
Water (ns),288.7241379,13.08,7.3,68.610781
Water (ns),2116.967742,13.1,7.3,68.6256
Water (ns),387.037037,13.14,7.3,68.600601
Water (ns),909.2307692,13.19,7.3,68.610781
Water (ns),2211.148699,13.3,7.3,68.673757
Water (ns),381,13.35,7.3,68.595875
Water (ns),881.0884956,13.6,7.3,68.585
Water (ns),191.0666667,13.65,7.3,68.571037
Water (ns),1072.168675,13.7,7.3,68.611341
Water (ns),1333.011765,13.7,7.3,68.61838333
Water (ns),581,13.73,7.3,68.571037
Water (ns),280.09375,13.77,7.3,68.587573
Water (ns),2272.482014,13.8,7.3,68.61838333
Water (ns),1639.736842,14,7.3,68.6256
Water (ns),775.5263158,14.02,7.3,55.905
Water (ns),255.1081081,14.04,7.3,68.571037
Water (ns),431.1071429,14.08,7.3,55.873
Water (ns),337.4347826,14.19,7.3,68.609717
Water (ns),673.5121951,14.2,7.3,68.609308
Water (ns),1575.333333,14.3,7.3,55.906
Water (ns),466.06,14.3,7.3,68.587573
Water (ns),332.037037,14.38,7.3,68.571037
Water (ns),1155.308989,14.4,7.3,68.6256
Water (ns),277.0882353,14.42,7.3,68.574673
Water (ns),451.8333333,14.5,7.3,68.53698
Water (ns),515.7272727,14.5,7.3,68.58333333
Water (ns),932.2418301,14.5,7.3,68.61838333
Water (ns),599.4285714,14.9,7.3,68.82153
Water (ns),461.2368421,15.1,7.3,68.53405
Water (ns),3847.10219,15.1,7.3,68.61818333
Water (ns),662.5535714,15.4,7.3,68.53327
Water (ns),363.5277778,15.56,7.3,68.600601
Water (ns),2258.395833,15.6,7.3,68.61818333
Water (ns),249.8076923,15.6,7.3,68.611341
Water (ns),5859.107914,16,7.3,68.98633
Water (ns),685.6901408,16.1,7.3,68.49592
Water (ns),274.84,16.2,7.3,69.03333333
Water (ns),498.2368421,16.3,7.3,68.5896775
Water (ns),57.33333333,17.1,7.3,68.60853333
Water (ns),320.6206897,17.72,7.3,68.587573
Water (ns),475.5918367,18.08,7.3,68.578931
Water (ns),1894.666667,18.1,7.3,68.6256
Water (ns),233.1111111,18.4,7.3,68.60853333
Water (ns),277.3030303,18.4,7.3,68.611341
Water (ns),254,18.4,7.3,68.611341
Water (ns),622.1587302,18.4,7.3,68.611341
Water (ns),282.65,18.4,7.3,68.611341
Water (ns),457.3225806,18.4,7.3,68.60853333
Water (ns),419,18.4,7.3,68.60853333
Water (ns),557.7,18.8,7.3,68.585
Water (ns),94.33333333,19,7.3,68.49592
Water (ns),443.5714286,19.3,7.3,68.79622
Water (ns),424.8490566,19.3,7.3,68.86755
Water (ns),694.2718447,14.12,7.31,55.873
Water (ns),749.2075472,14.94,7.32,55.905
Water (ns),348.78125,0.5,7.33,53.1
Water (ns),256.6216216,0.5,7.33,53.1
Water (ns),155.75,0.5,7.33,53.1
Water (ns),330.125,0.5,7.33,53.1
Water (ns),211.64,4.9,7.33,53.167
Water (ns),197.1578947,4.9,7.33,53.167
Sediment (s),1898.423077,11,7.33,50.338
Sediment (s),2079.184713,11,7.33,50.338
Sediment (s),934.5441176,11,7.33,50.338
Sediment (s),1745.571429,11,7.33,50.338
Sediment (s),1985.112676,11,7.33,50.338
Sediment (s),1593.128834,11,7.33,50.338
Sediment (s),2540.863636,11,7.33,50.338
Water (ns),1944.739437,14,7.38,55.906
Water (ns),139.0769231,14.14,7.38,55.873
Water (ns),913.6964286,14.2,7.38,55.873
Water (ns),381,1.37,7.4,68.629961
Water (ns),325.7777778,5.69,7.4,68.629961
Water (ns),4101.464891,6.3,7.4,68.622
Water (ns),45.5,6.4,7.4,68.57366667
Water (ns),3050.610687,6.4,7.4,68.622
Water (ns),1473.270588,6.5,7.4,68.609717
Water (ns),373.6222222,6.54,7.4,68.629961
Water (ns),5046.652074,6.9,7.4,68.6
Water (ns),3284.955357,7.3,7.4,68.57366667
Water (ns),5468.294118,7.8,7.4,68.59688333
Water (ns),739.1829268,7.8,7.4,68.58333333
Water (ns),4544.495614,7.9,7.4,68.578643
Water (ns),1164.764706,8,7.4,68.574
Water (ns),4704.815348,8.1,7.4,68.61838333
Water (ns),1241.117647,8.5,7.4,68.611341
Water (ns),1467.240458,8.5,7.4,68.59688333
Water (ns),5622.181818,8.6,7.4,68.6
Water (ns),1812.033708,8.7,7.4,68.61838333
Water (ns),4463.468271,8.8,7.4,68.622
Water (ns),4469.089021,8.9,7.4,68.57366667
Water (ns),1255.540541,9,7.4,68.61838333
Water (ns),1293.444444,9,7.4,68.59688333
Water (ns),3252.595041,9,7.4,68.673757
Water (ns),246,9,7.4,68.60853333
Water (ns),448.5185185,9.16,7.4,68.582062
Water (ns),5322.421471,9.2,7.4,68.622
Water (ns),212.3870968,9.63,7.4,68.5684
Water (ns),302.25,9.75,7.4,68.595875
Water (ns),1392.183246,9.8,7.4,68.6256
Water (ns),4401.236527,9.9,7.4,68.6
Water (ns),52,10,7.4,68.57366667
Water (ns),2776.941953,10.1,7.4,68.62016667
Water (ns),4192.249292,10.4,7.4,68.57366667
Water (ns),566.4102564,10.4,7.4,68.61938333
Water (ns),644.0909091,10.5,7.4,68.609717
Water (ns),1954.445545,10.5,7.4,68.61838333
Water (ns),277.0322581,10.61,7.4,68.595875
